Index,Date,ClockTime,RawTime,TraceSampID,Voltage_L1_N:REAL,Voltage_L2_N:REAL,Voltage_L3_N:REAL,Current_L1:REAL,Current_L2:REAL,Current_L3:REAL,Total_Active_Power:REAL,Total_Consumed_Energy:REAL,InvOutCurrent_Real:REAL,Machine.IMotor:REAL,KesmeZamani_s:INT,KesilenAlan_m2:REAL,AutoPar.SawDiameter:REAL,AutoPar.SawThickness:REAL,AutoPar.SawTooth:DINT,Malzeme.D_H1:REAL,Malzeme.W1:REAL,Z_Kafa_HMI:LREAL,Kafa.Act.Pos:LREAL,Kafa.Act.Trq:LREAL,Kafa.Act.Vel:LREAL,CurrentF:REAL,CurrentS:REAL,AutoPar.FeedRate1:REAL,AutoPar.FeedRate2:REAL,AutoPar.PeripSpeed:REAL,KafaCurrent_1_abs:LREAL,Z_Accelerometer:REAL,X_Accelerometer:REAL,Y_Accelerometer:REAL,KesmeZamani_min:INT
76,2026-02-17,01:14:02,1771290842305979268,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"27,8745708","42,8769188",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999997","0,8","-0,0003405979783","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,225399","48,7206306","44,6888885",0
77,2026-02-17,01:14:02,1771290842405980461,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"24,62253","37,8769188",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000003","0,8","-0,0005108969674","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6031799","48,6507912","44,6634903",0
78,2026-02-17,01:14:03,1771290842505981274,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"22,7061596","34,9384613",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999995","0,8","-0,0003405979783","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5682602","48,6857109","44,7142906",0
79,2026-02-17,01:14:03,1771290842605982619,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"22,0092907","33,8615417",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000005","0,8","-0,0002554484979","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6857109","48,7015915","44,7301598",0
80,2026-02-17,01:14:03,1771290842705982783,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"21,8350792","33,5999985",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8",0,"2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","48,0666695","48,8126984","44,5492096",0
81,2026-02-17,01:14:03,1771290842805983714,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"22,1254292","34,0461502",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104",485,"0,8","-0,00008514950878","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5872993","48,6920586","44,69841",0
82,2026-02-17,01:14:03,1771290842905985009,,"227,600006","227,699997","228,199997","14,46","15,2399998",15,9280,19403,"22,4158001","34,4923096",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000012","0,8","0,0004257474586","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7555618","48,771431","44,7777786",0
83,2026-02-17,01:14:03,1771290843005985951,,"227,600006","227,699997","228,199997","14,46","15,2399998",15,9280,19403,"22,0673599","33,9538498",0,"2,20988393","899,999878","4,19999981",60,292,115,"34,56652832","484,4503844","-130,1","-30,07377897","2,87363195",125,"0,0649999976","2,87363195",125,"5,2193","47,4285698","48,6063499","44,5872993",0
84,2026-02-17,01:14:03,1771290843105986677,,"227,600006","227,699997","228,199997","14,46","15,2399998",15,9280,19403,"20,1509895",31,0,"2,20988393","899,999878","4,19999981",60,292,115,"28,29714966","478,0108396","-6,8","-71,56610489","2,87363195",125,"0,0649999976","2,87363195",125,"0,2952","47,5968208","48,4000015","44,8190498",0
85,2026-02-17,01:14:03,1771290843205987595,,"227,600006","227,699997","228,199997","14,46","15,2399998",15,9280,19403,"18,7572594","28,8615398",0,"2,20988393","899,999878","4,19999981",60,292,115,"21,15109253","470,865398","-7,4","-71,41147341","2,87363195",125,"0,0649999976","2,87363195",125,"0,3034","47,3555603","48,228569","44,6031799",0
